region         , fill_m3           , cut_m3            , net_m3
inside_polygon , 351761.49957912887, 1037300.9542310371, -685539.4546519083
outside_polygon,      0.0          ,       0.0         , 0.0
total          , 351761.49957912887, 1037300.9542310371, -685539.4546519083
